,exchange,code
0,"Abidjan SE, Non-Exchange FI Update",#CI
1,Abidjan Stock Exchange,ABJ
2,Abu Dhabi Stock Exchange,ABD
3,ADIX Brokers Group,ABC
4,AGRARIAN STOCK EXCHANGE OF GUATEMALA,ASG
5,AHMEDABAD STOCK EXCHANGE,AHM
6,"AIAF S.A., Mercado de Renta Fija",AIF
7,Alberta Stock Exchange,ALB
8,Algiers Stock Exchange,ALG
9,American Commodity Exchange,ACC
10,American Options Exchange,AOE
11,American Petroleum Institute,AP$
12,American Stock Excahnge for Nasdaq Large Cap,LCA
13,American Stock Exchange,ASE
14,American Stock Exchange for Nasdaq Small Cap,SCA
15,AMEX Consolidated,ASQ
16,Amman Financial Market,AMM
17,Amsterdam Agricultural Commodities Exchange,ATA
18,Amsterdam Commodity Exchange,ACE
19,Amsterdam Financial Futures Exchange,AFF
20,Amsterdam Power Exchange,APX
21,Amsterdam Stock Exchange,AMS
22,Antwerp Stock Exchange,ANT
23,ARA Products Barge,AR$
24,Archipelago L.L.C.,ARC
25,Asian Saturday Rates,ST$
26,Asuncion Stock Exchange,ASU
27,Athens Derivatives Exchange,ADE
28,Athens Stock Exchange,ATH
29,"Australia, Non-Exchange FI Update",#AU
30,Australian Derivatives Exchange (AUDX),ADX
31,Australian Energy Data,EAX
32,Australian Money Rates,AU$
33,Australian Stock Exchange Ltd,ASX
34,"Austria, Non-Exchange FI Update",#AT
35,Austrian Futures and Options Exchange (OTOB),OTB
36,Automated Power Exchange,APE
37,AVK Closing Joint Stock Co,AVK
38,Bahamas International Securities Exchange,BIX
39,Baltic International Freight Futures Exchange (BIFFEX),BIF
40,Baltimore Stock Exchange,BAL
41,Bangkok Stock Exchange,BKK
42,Bangok Stock Dealing Centre,TOT
43,Banja Luka Exchange,BNL
44,Bank Negara Malaysia,BNC
45,Bank Of Greece,BKG
46,Basel Stock Exchange,BSL
47,Beijing Commodities Exchange,BJC
48,Beijing Petroleum Exchange,BPX
49,Beirut Secondary Market,BES
50,Beirut Stock Exchange,BDB
51,Belarus Intercurrency and Stock Exchange,BLE
52,Belarusian Currency and Stock Exchange,BCS
53,Belgian Futures and Options Exchange (BELFOX),BFX
54,"Belgium, Non-Exchange FI Update",#BE
55,Belgrade Stock Exchange,BEL
